Recombinant ternary DES;Profile-Hydrogen donor;Profile-Hydrogen accept;LCCs interaction potential;Cosmovolume;Density;Solubility (log);Formula weight;Viscosity (In);Time;Temperature;Predicted delignification
cholinechloride[1]maleicacid[2]glycol[1];  0.0114805;  0.0206165;  -16.587564;  157.4794462675;  1.14364879;  -2.83557327;  108.4594675;  18.5427994330223;  2;  120;  76.13
cholinechloride[1]maleicacid[2]propanediol[1];  0.0136395;  0.0220195;  -16.876338;  164.81761506;  1.12805988;  -2.69321453;  111.966135;  18.5469896044463;  2;  120;  72.93
cholinechloride[1]maleicacid[2]xylitol[1];  0.0250575;  0.0399735;  -16.7818;  184.9716829325;  1.17583304;  -2.74566607222222;  130.979045;  26.093849898572;  2;  120;  61.53
cholinechloride[1]maleicacid[5]benzylalcohol[1];  0.0288969285714286;  0.0157490714285714;  -18.2828;  198.789010523333;  1.25324963;  -2.3104217;  150.030953333333;  33.9567929437769;  2;  120;  74.41
cholinechloride[1]maleicacid[5]butanediol[1];  0.0273373571428571;  0.0149948571428571;  -17.977436;  177.076918041667;  1.24421067;  -2.43811179;  132.680403333333;  34.3013231830034;  2;  120;  72.76
cholinechloride[1]maleicacid[5]glycerol[1];  0.0270289285714286;  0.0147944285714286;  -17.662264;  172.374228743333;  1.25563444;  -2.63140991111111;  130.342625;  35.4177702152885;  2;  120;  75.35
cholinechloride[1]maleicacid[5]glycol[1];  0.0289330714285714;  0.0158352142857143;  -17.681348;  193.743560266667;  1.26584998;  -2.63477824333333;  147.693173333333;  34.1947754788066;  2;  120;  78.36
cholinechloride[1]maleicacid[5]propanediol[1];  0.0289685;  0.0175597142857143;  -17.77694;  190.10441897;  1.26966421;  -2.56948843111111;  145.355676666667;  34.1856033005773;  2;  120;  73.08
cholinechloride[1]maleicacid[5]xylitol[1];  0.0277992857142857;  0.0159926428571428;  -17.838034;  178.133210831667;  1.26169026;  -2.56411476555556;  135.346975;  38.0873131158542;  2;  120;  42.36
cholinechloride[1]malicacid[2]benzylalcohol[1];  0.006555;  0.010896;  -17.963428;  188.4836256325;  1.13635421;  -2.25119231;  128.98472;  5.85001362301641;  2;  120;  43.52
cholinechloride[1]malicacid[2]butanediol[1];  0.0133865;  0.0214165;  -17.272766;  183.068154335;  1.12911322;  -2.58962095888889;  124.480465;  6.37746892061365;  2;  120;  39.65
cholinechloride[1]malicacid[2]glycerol[1];  0.016873;  0.029004;  -16.589678;  176.8006990225;  1.17377156;  -2.97544506666667;  124.973655;  8.52937854595662;  2;  120;  37.52
cholinechloride[1]malicacid[2]glycol[1];  0.0114805;  0.0206165;  -16.650418;  167.8307324175;  1.16223501;  -3.01360616444444;  117.4671275;  6.14542924053632;  2;  120;  59.93
cholinechloride[1]malicacid[2]propanediol[1];  0.0136395;  0.0220195;  -16.86746;  175.16890121;  1.14678868;  -2.85396116555556;  120.9737975;  6.14961941196033;  2;  120;  48.63
cholinechloride[1]malicacid[2]xylitol[1];  0.0250575;  0.0399735;  -16.562364;  195.322969085;  1.19009757;  -2.98560487333333;  139.9867075;  13.6964797060861;  2;  120;  30.01
cholinechloride[1]malicacid[5]benzylalcohol[1];  0.0393048571428571;  0.0176482857142857;  -18.825104;  253.016092738333;  1.28671625;  -2.39736001222222;  196.056768333333;  16.2409961484964;  2;  120;  67.44
cholinechloride[1]malicacid[5]butanediol[1];  0.029395;  0.016833;  -18.424438;  194.799853058333;  1.28171672;  -2.60364779777778;  150.359745;  16.5855263877229;  2;  120;  46.81
cholinechloride[1]malicacid[5]glycerol[1];  0.0392687142857143;  0.0175621428571428;  -18.170246;  258.061542995;  1.27660204;  -2.78249716222222;  198.394548333333;  17.701973420008;  2;  120;  66.3
cholinechloride[1]malicacid[5]glycol[1];  0.040936;  0.0202131428571428;  -18.234884;  266.043593666667;  1.30282297;  -2.79011905222222;  208.732041666667;  16.478978683526;  2;  120;  66.87
cholinechloride[1]malicacid[5]propanediol[1];  0.0286246428571428;  0.0156347857142857;  -18.282698;  189.040870968333;  1.27680489;  -2.72360437;  145.355395;  16.4698065052968;  2;  120;  43.19
cholinechloride[1]malicacid[5]xylitol[1];  0.0305642142857143;  0.0184000714285714;  -18.113126;  206.771061196667;  1.28788848;  -2.7927708;  160.368446666667;  20.3715163205737;  2;  120;  50.9
cholinechloride[1]oxalicacid[2]benzylalcohol[1];  0.006555;  0.010896;  -18.317534;  158.8048330725;  1.11840729;  -1.64571531444444;  106.95833;  7.83921227466489;  2;  120;  71.16
cholinechloride[1]oxalicacid[2]butanediol[1];  0.0133865;  0.0214165;  -17.632432;  153.389361775;  1.10913164;  -1.94767052222222;  102.4540775;  8.36666757226213;  2;  120;  74.62
cholinechloride[1]oxalicacid[2]glycerol[1];  0.016873;  0.029004;  -16.925318;  147.121906465;  1.16194765;  -2.31050525888889;  102.947265;  10.5185771976051;  2;  120;  81.25
cholinechloride[1]oxalicacid[2]glycol[1];  0.0114805;  0.0206165;  -17.047934;  138.15193986;  1.14716503;  -2.28149108;  95.44074;  8.1346278921848;  2;  120;  81.92
cholinechloride[1]oxalicacid[2]propanediol[1];  0.0136395;  0.0220195;  -17.261754;  145.4901086525;  1.12932787;  -2.17128725555556;  98.9474075;  8.13881806360881;  2;  120;  76.51
cholinechloride[1]oxalicacid[2]xylitol[1];  0.0250575;  0.0399735;  -16.868164;  165.644176525;  1.18252097;  -2.40431060888889;  117.9603175;  15.6856783577345;  2;  120;  69.98
cholinechloride[1]oxalicacid[5]benzylalcohol[1];  0.0160152857142857;  0.0174442142857143;  -19.26424;  219.34710942;  1.10066857;  -1.31300535;  145.391625;  19.094790504309;  2;  120;  81.75
cholinechloride[1]oxalicacid[5]butanediol[1];  0.0117024285714286;  0.0106977142857143;  -18.825586;  218.269903455;  1.08837868;  -1.53642173222222;  143.062163333333;  19.4393207435355;  2;  120;  82.27
cholinechloride[1]oxalicacid[5]glycerol[1];  0.0143841428571429;  0.0148793571428571;  -18.564058;  206.31960849;  1.06815191;  -1.75003613666667;  132.716351666667;  20.5557677758206;  2;  120;  85.34
cholinechloride[1]oxalicacid[5]glycol[1];  0.0148460714285714;  0.0158771428571429;  -18.6299;  207.375901281667;  1.08406343;  -1.69033136555556;  135.382923333333;  19.3327730393387;  2;  120;  86.43
cholinechloride[1]oxalicacid[5]propanediol[1];  0.0124060714285714;  0.0120863571428571;  -18.680304;  205.00991256;  1.0965813;  -1.65274183333333;  135.38377;  19.3236008611094;  2;  120;  84.18
cholinechloride[1]oxalicacid[5]xylitol[1];  0.014348;  0.0147932142857143;  -18.514178;  211.365058746667;  1.06102049;  -1.84686180111111;  135.054131666667;  23.2253106763863;  2;  120;  83.53
cholinechloride[1]succinicacid[2]benzylalcohol[1];  0.006555;  0.010896;  -16.36307;  182.8076272675;  1.09897123;  -1.90570952222222;  120.985005;  18.9840188121308;  2;  120;  48.13
cholinechloride[1]succinicacid[2]butanediol[1];  0.0133865;  0.0214165;  -15.829848;  177.39215597;  1.09035731;  -2.17290676777778;  116.48075;  19.5114741097281;  2;  120;  45.27
cholinechloride[1]succinicacid[2]glycerol[1];  0.016873;  0.029004;  -15.099538;  171.12470066;  1.13507748;  -2.47168726666667;  116.97394;  21.663383735071;  2;  120;  41.14
cholinechloride[1]succinicacid[2]glycol[1];  0.0114805;  0.0206165;  -15.097274;  162.154734055;  1.12099665;  -2.49381536;  109.4674125;  19.2794344296507;  2;  120;  61.06
cholinechloride[1]succinicacid[2]propanediol[1];  0.0136395;  0.0220195;  -15.355372;  169.492902845;  1.10681846;  -2.38609878888889;  112.9740825;  19.2836246010747;  2;  120;  54.25
cholinechloride[1]succinicacid[2]xylitol[1];  0.0250575;  0.0399735;  -15.283584;  189.64697072;  1.15567125;  -2.53261572666667;  131.9869925;  26.8304848952005;  2;  120;  30.08
cholinechloride[1]succinicacid[5]benzylalcohol[1];  0.0186946428571429;  0.0150694285714286;  -16.981344;  166.423932361667;  1.13432277;  -2.01431211666667;  113.685045;  35.2786442213522;  2;  120;  59.87
cholinechloride[1]succinicacid[5]butanediol[1];  0.0207165714285714;  0.0120785714285714;  -16.639036;  150.643549933333;  1.2491261;  -2.14641954333333;  113.320305;  35.6231744605787;  2;  120;  75.85
